时间,名称,类别,星级,总次数,保底内
2021-02-14 09:27:05,飞天御剑,武器,3,1,1
2021-02-14 09:27:05,鸦羽弓,武器,3,2,2
2021-02-14 09:27:05,弹弓,武器,3,3,3
2021-02-14 09:27:05,弹弓,武器,3,4,4
2021-02-14 09:27:05,黎明神剑,武器,3,5,5
2021-02-14 09:27:05,鸦羽弓,武器,3,6,6
2021-02-14 09:27:05,香菱,角色,4,7,7
2021-02-14 09:27:05,诺艾尔,角色,4,8,8
2021-02-14 09:27:05,铁影阔剑,武器,3,9,9
2021-02-14 09:27:05,班尼特,角色,4,10,10
2021-02-18 09:24:06,以理服人,武器,3,11,11
2021-02-18 09:24:06,冷刃,武器,3,12,12
2021-02-18 09:24:06,魔导绪论,武器,3,13,13
2021-02-18 09:24:06,神射手之誓,武器,3,14,14
2021-02-18 09:24:06,翡玉法球,武器,3,15,15
2021-02-18 09:24:06,弹弓,武器,3,16,16
2021-02-18 09:24:06,黎明神剑,武器,3,17,17
2021-02-18 09:24:06,鸦羽弓,武器,3,18,18
2021-02-18 09:24:06,刻晴,角色,5,19,19
2021-02-18 09:24:06,芭芭拉,角色,4,20,1
