时间,名称,类别,星级,总次数,保底内
2021/2/14 9:35,魔导绪论,武器,3,1,1
2021/2/26 8:16,以理服人,武器,3,2,2
2021/2/27 7:23,鸦羽弓,武器,3,3,3
2021/2/27 7:35,鸦羽弓,武器,3,4,4
2021/2/27 7:35,祭礼弓,武器,4,5,5
2021/2/27 7:35,神射手之誓,武器,3,6,6
2021/2/27 7:35,匣里龙吟,武器,4,7,7
2021/2/27 7:35,黑缨枪,武器,3,8,8
2021/2/27 7:35,铁影阔剑,武器,3,9,9
2021/2/27 13:00,黑缨枪,武器,3,10,10
2021/2/28 6:59,以理服人,武器,3,11,11
2021/2/28 6:59,翡玉法球,武器,3,12,12
2021/2/28 9:27,黎明神剑,武器,3,13,13
2021/2/28 14:40,冷刃,武器,3,14,14
2021/4/9 5:59,讨龙英杰谭,武器,3,15,15
2021/4/10 6:14,辛焱,角色,4,16,16
2021/4/11 8:48,以理服人,武器,3,17,17
2021/4/12 4:03,黎明神剑,武器,3,18,18
2021/4/12 5:26,弹弓,武器,3,19,19
2021/4/13 6:14,黎明神剑,武器,3,20,20
2021/4/13 6:34,铁影阔剑,武器,3,21,21
2021/4/14 6:11,冷刃,武器,3,22,22
2021/4/15 6:06,翡玉法球,武器,3,23,23
2021/4/16 6:38,以理服人,武器,3,24,24
2021/4/16 8:29,西风剑,武器,4,25,25
2021/4/16 8:50,祭礼大剑,武器,4,26,26
2021/4/16 8:50,以理服人,武器,3,27,27
2021/4/16 20:18,弓藏,武器,4,28,28
2021/4/16 20:36,祭礼大剑,武器,4,29,29
2021/4/16 20:37,讨龙英杰谭,武器,3,30,30
2021/4/16 22:47,铁影阔剑,武器,3,31,31
2021/4/17 6:09,沐浴龙血的剑,武器,3,32,32
2021/4/18 6:03,神射手之誓,武器,3,33,33
2021/4/19 5:46,神射手之誓,武器,3,34,34
2021/4/20 6:17,以理服人,武器,3,35,35
2021/4/20 6:21,飞天御剑,武器,3,36,36
2021/4/21 6:05,弹弓,武器,3,37,37
2021/4/22 6:08,西风长枪,武器,4,38,38
2021/4/23 5:23,魔导绪论,武器,3,39,39
2021/4/23 10:10,冷刃,武器,3,40,40
2021/4/24 9:56,飞天御剑,武器,3,41,41
2021/4/25 6:33,神射手之誓,武器,3,42,42
2021/4/26 15:25,以理服人,武器,3,43,43
2021/6/1 9:27,飞天御剑,武器,3,44,44
2021/6/2 5:57,讨龙英杰谭,武器,3,45,45
2021/6/2 5:57,匣里灭辰,武器,4,46,46
2021/6/2 5:58,魔导绪论,武器,3,47,47
2021/6/3 5:35,讨龙英杰谭,武器,3,48,48
2021/6/4 6:33,沐浴龙血的剑,武器,3,49,49
2021/6/5 5:42,弓藏,武器,4,50,50
2021/6/6 5:45,鸦羽弓,武器,3,51,51
2021/6/6 6:03,鸦羽弓,武器,3,52,52
2021/6/6 6:03,飞天御剑,武器,3,53,53
2021/6/7 6:56,鸦羽弓,武器,3,54,54
2021/6/8 6:55,冷刃,武器,3,55,55
2021/6/9 10:33,弹弓,武器,3,56,56
2021/6/9 10:33,以理服人,武器,3,57,57
2021/6/9 10:33,幽夜华尔兹,武器,4,58,58
2021/6/9 10:34,沐浴龙血的剑,武器,3,59,59
2021/6/9 12:02,沐浴龙血的剑,武器,3,60,60
2021/6/9 12:28,黎明神剑,武器,3,61,61
2021/6/9 12:29,沐浴龙血的剑,武器,3,62,62
2021/6/9 22:08,弹弓,武器,3,63,63
2021/6/10 7:04,神射手之誓,武器,3,64,64
2021/6/10 9:39,天空之傲,武器,5,65,65
