时间,名称,类别,星级,总次数,保底内
2020-12-03 16:36:00,黑缨枪,武器,3,1,1
2020-12-03 16:36:01,以理服人,武器,3,2,2
2020-12-03 16:41:10,黑缨枪,武器,3,3,3
2020-12-03 17:55:10,重云,角色,4,4,4
2020-12-03 18:06:10,神射手之誓,武器,3,5,5
2020-12-03 18:07:10,沐浴龙血的剑,武器,3,6,6
2020-12-03 18:07:11,翡玉法球,武器,3,7,7
2020-12-03 18:34:20,沐浴龙血的剑,武器,3,8,8
2020-12-03 21:44:20,黎明神剑,武器,3,9,9
2020-12-03 21:56:20,沐浴龙血的剑,武器,3,10,10
2020-12-03 21:56:21,飞天御剑,武器,3,11,11
2020-12-04 00:06:30,沐浴龙血的剑,武器,3,12,12
2020-12-04 07:45:30,神射手之誓,武器,3,13,13
2020-12-04 10:48:30,重云,角色,4,14,14
2020-12-04 13:34:30,以理服人,武器,3,15,15
2020-12-04 15:49:30,冷刃,武器,3,16,16
2020-12-04 16:03:30,鸦羽弓,武器,3,17,17
2020-12-04 16:38:30,神射手之誓,武器,3,18,18
2020-12-05 06:28:30,匣里龙吟,武器,4,19,19
2020-12-05 06:28:31,魔导绪论,武器,3,20,20
2020-12-05 06:28:32,铁影阔剑,武器,3,21,21
2020-12-05 11:54:40,莫娜,角色,5,22,22
2020-12-05 15:27:40,铁影阔剑,武器,3,23,1
2020-12-05 17:50:40,翡玉法球,武器,3,24,2
2020-12-05 19:51:40,冷刃,武器,3,25,3
2020-12-05 23:27:40,铁影阔剑,武器,3,26,4
2020-12-06 00:06:40,鸦羽弓,武器,3,27,5
2020-12-06 06:58:40,重云,角色,4,28,6
2020-12-06 06:59:40,沐浴龙血的剑,武器,3,29,7
2020-12-06 07:21:40,讨龙英杰谭,武器,3,30,8
2020-12-06 13:47:40,黑缨枪,武器,3,31,9
2020-12-06 18:51:40,飞天御剑,武器,3,32,10
2020-12-06 19:31:40,铁影阔剑,武器,3,33,11
2020-12-06 20:39:40,飞天御剑,武器,3,34,12
2020-12-06 21:52:40,黎明神剑,武器,3,35,13
2020-12-07 07:28:40,讨龙英杰谭,武器,3,36,14
2020-12-07 14:29:40,雷泽,角色,4,37,15
2020-12-07 21:16:40,冷刃,武器,3,38,16
2020-12-08 06:39:40,黑缨枪,武器,3,39,17
2020-12-08 12:35:40,以理服人,武器,3,40,18
2020-12-08 13:31:40,翡玉法球,武器,3,41,19
2020-12-08 15:28:40,讨龙英杰谭,武器,3,42,20
2020-12-08 16:19:40,黎明神剑,武器,3,43,21
2020-12-09 06:05:40,讨龙英杰谭,武器,3,44,22
2020-12-09 06:05:41,鸦羽弓,武器,3,45,23
